number_of_game,winner
0,3
1,3
2,3
3,0
4,1
5,3
6,2
7,1
8,2
9,2
10,1
11,1
12,0
13,2
14,0
15,3
16,1
17,3
18,0
19,3
20,1
21,2
22,1
23,2
24,2
25,2
26,3
27,2
28,1
29,2
30,1
31,0
32,2
33,0
34,1
35,0
36,3
37,1
38,3
39,3
40,3
41,1
42,1
43,2
44,2
45,2
46,3
47,3
48,0
49,1
50,2
51,3
52,0
53,0
54,1
55,0
56,0
57,1
58,1
59,2
60,0
61,1
62,2
63,2
64,1
65,0
66,1
67,0
68,0
69,1
70,2
71,1
72,3
73,2
74,2
75,1
76,0
77,3
78,1
79,2
80,1
81,3
82,2
83,0
84,1
85,1
86,2
87,3
88,0
89,1
90,3
91,2
92,2
93,2
94,3
95,3
96,0
97,3
98,1
99,0
100,2
101,3
102,1
103,0
104,2
105,1
106,3
107,3
108,3
109,2
110,1
111,0
112,0
113,1
114,0
115,3
116,2
117,2
118,1
119,2
120,3
121,0
122,1
123,0
124,3
125,0
126,3
127,3
128,2
129,2
130,0
131,1
132,1
133,0
134,3
135,0
136,1
137,3
138,3
139,3
140,0
141,0
142,1
143,3
144,0
145,1
146,0
147,3
148,1
149,1
150,1
151,2
152,3
153,3
154,0
155,3
156,3
157,3
158,0
159,1
160,0
161,3
162,1
163,1
164,2
165,3
166,2
167,2
168,2
169,2
170,0
171,3
172,2
173,3
174,1
175,2
176,3
177,1
178,1
179,0
180,0
181,3
182,3
183,3
184,3
185,3
186,1
187,1
188,1
189,0
190,3
191,1
192,3
193,0
194,2
195,3
196,0
197,2
198,3
199,0
200,1
201,3
202,3
203,1
204,3
205,0
206,0
207,2
208,3
209,3
210,0
211,3
212,0
213,1
214,0
215,2
216,0
217,3
218,2
219,1
220,0
221,2
222,3
223,1
224,3
225,3
226,3
227,3
228,3
229,3
230,3
231,0
232,1
233,3
234,1
235,2
236,0
237,0
238,3
239,1
240,1
241,0
242,0
243,2
244,0
245,1
246,1
247,3
248,1
249,2
250,3
251,2
252,2
253,0
254,1
255,2
256,2
257,0
258,2
259,3
260,1
261,3
262,3
263,2
264,2
265,3
266,2
267,2
268,2
269,1
270,0
271,3
272,3
273,0
274,0
275,3
276,3
277,3
278,0
279,0
280,1
281,1
282,3
283,1
284,3
285,0
286,1
287,1
288,1
289,1
290,2
291,0
292,1
293,3
294,0
295,1
296,0
297,3
298,3
299,1
300,2
301,1
302,3
303,1
304,3
305,2
306,2
307,1
308,3
309,3
310,0
311,0
312,0
313,1
314,3
315,2
316,1
317,3
318,2
319,1
320,2
321,3
322,2
323,0
324,2
325,2
326,3
327,0
328,0
329,1
330,0
331,2
332,0
333,2
334,0
335,1
336,0
337,1
338,0
339,0
340,3
341,3
342,2
343,0
344,2
345,2
346,1
347,1
348,1
349,1
350,2
351,1
352,1
353,3
354,0
355,3
356,0
357,1
358,0
359,2
360,3
361,2
362,0
363,2
364,0
365,3
366,1
367,0
368,2
369,1
370,1
371,3
372,2
373,3
374,0
375,3
376,2
377,3
378,0
379,2
380,2
381,3
382,1
383,2
384,0
385,1
386,2
387,2
388,1
389,2
390,2
391,0
392,0
393,0
394,0
395,0
396,0
397,1
398,0
399,3
400,0
401,3
402,0
403,0
404,0
405,3
406,1
407,1
408,3
409,1
410,1
411,0
412,2
413,0
414,0
415,1
416,2
417,2
418,1
419,1
420,1
421,0
422,1
423,1
424,0
425,1
426,1
427,0
428,0
429,3
430,0
431,3
432,2
433,3
434,3
435,3
436,0
437,2
438,2
439,0
440,0
441,2
442,2
443,0
444,3
445,3
446,1
447,1
448,2
449,3
450,2
451,3
452,1
453,2
454,1
455,1
456,1
457,2
458,2
459,0
460,1
461,1
462,3
463,3
464,3
465,0
466,2
467,3
468,0
469,3
470,0
471,1
472,2
473,3
474,0
475,2
476,2
477,1
478,3
479,2
480,2
481,1
482,3
483,2
484,2
485,0
486,1
487,2
488,2
489,3
490,3
491,3
492,2
493,3
494,0
495,0
496,2
497,2
498,0
499,1
500,1
501,2
502,1
503,0
504,3
505,3
506,1
507,3
508,2
509,3
510,3
511,2
512,0
513,0
514,2
515,0
516,0
517,1
518,3
519,3
520,0
521,2
522,1
523,2
524,2
525,1
526,3
527,2
528,2
529,3
530,2
531,2
532,0
533,3
534,3
535,0
536,3
537,2
538,3
539,3
540,1
541,0
542,0
543,1
544,3
545,0
546,0
547,0
548,2
549,0
550,3
551,1
552,0
553,2
554,1
555,2
556,3
557,1
558,0
559,0
560,1
561,0
562,2
563,1
564,1
565,2
566,2
567,3
568,1
569,3
570,3
571,1
572,0
573,0
574,3
575,0
576,2
577,2
578,3
579,0
580,3
581,1
582,1
583,3
584,3
585,2
586,0
587,0
588,3
589,2
590,3
591,3
592,2
593,2
594,1
595,2
596,1
597,2
598,2
599,2
600,3
601,1
602,2
603,3
604,0
605,1
606,0
607,1
608,0
609,1
610,3
611,3
612,0
613,2
614,0
615,0
616,0
617,0
618,2
619,0
620,1
621,2
622,0
623,1
624,2
625,3
626,2
627,1
628,0
629,1
630,2
631,3
632,0
633,2
634,0
635,0
636,0
637,3
638,1
639,1
640,1
641,1
642,0
643,3
644,2
645,2
646,0
647,0
648,0
649,1
650,3
651,0
652,3
653,2
654,0
655,1
656,0
657,0
658,1
659,2
660,1
661,2
662,0
663,2
664,2
665,2
666,0
667,1
668,1
669,2
670,0
671,3
672,1
673,0
674,1
675,1
676,1
677,1
678,0
679,0
680,1
681,2
682,1
683,2
684,3
685,2
686,1
687,2
688,3
689,1
690,2
691,0
692,0
693,3
694,3
695,0
696,3
697,0
698,3
699,3
700,3
701,0
702,3
703,1
704,2
705,0
706,3
707,0
708,3
709,3
710,0
711,0
712,2
713,3
714,1
715,0
716,1
717,0
718,3
719,2
720,1
721,1
722,3
723,0
724,0
725,1
726,0
727,2
728,2
729,2
730,3
731,0
732,2
733,3
734,0
735,3
736,2
737,3
738,3
739,3
740,1
741,3
742,1
743,0
744,1
745,2
746,0
747,0
748,0
749,2
750,0
751,0
752,3
753,0
754,2
755,0
756,2
757,1
758,3
759,2
760,2
761,2
762,0
763,2
764,3
765,2
766,1
767,3
768,3
769,3
770,3
771,2
772,0
773,3
774,3
775,0
776,1
777,1
778,0
779,3
780,2
781,2
782,3
783,2
784,1
785,3
786,1
787,3
788,2
789,2
790,2
791,2
792,0
793,3
794,2
795,1
796,3
797,0
798,0
799,2
800,0
801,3
802,3
803,0
804,2
805,1
806,3
807,1
808,1
809,2
810,3
811,3
812,2
813,0
814,3
815,2
816,1
817,0
818,0
819,1
820,1
821,0
822,3
823,3
824,2
825,0
826,1
827,1
828,3
829,3
830,0
831,2
832,1
833,2
834,3
835,2
836,0
837,1
838,3
839,0
840,2
841,3
842,0
843,1
844,0
845,1
846,1
847,2
848,2
849,3
850,0
851,2
852,3
853,2
854,3
855,0
856,2
857,3
858,2
859,3
860,2
861,2
862,1
863,3
864,0
865,2
866,0
867,1
868,1
869,1
870,2
871,2
872,0
873,2
874,3
875,0
876,2
877,1
878,3
879,2
880,0
