number_of_game,winner,cur_reward,avg100_reward,avgall_reward,epsilon,win3,win2,win1,avg3,avg2,avg1
0,2,-350,-350.0,-350.0,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
1,3,1300,475.0,475.0,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
2,0,6500,2483.3333333333335,2483.3333333333335,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
3,0,6200,3412.5,3412.5,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
4,0,6500,4030.0,4030.0,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
5,3,700,3475.0,3475.0,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
6,0,6550,3914.285714285714,3914.285714285714,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
7,0,6300,4212.5,4212.5,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
8,0,7000,4522.222222222223,4522.222222222223,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
9,3,700,4140.0,4140.0,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
10,3,600,3818.181818181818,3818.181818181818,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
11,0,6850,4070.8333333333335,4070.8333333333335,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
12,0,6950,4292.307692307692,4292.307692307692,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
13,3,1200,4071.4285714285716,4071.4285714285716,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
14,3,800,3853.3333333333335,3853.3333333333335,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
15,2,950,3671.875,3671.875,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
16,2,-750,3411.764705882353,3411.764705882353,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
17,2,-300,3205.5555555555557,3205.5555555555557,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
18,3,1450,3113.157894736842,3113.157894736842,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
19,0,6400,3277.5,3277.5,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
20,2,400,3140.4761904761904,3140.4761904761904,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
21,0,6650,3300.0,3300.0,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
22,0,7200,3469.5652173913045,3469.5652173913045,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
23,0,6950,3614.5833333333335,3614.5833333333335,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
24,0,6450,3728.0,3728.0,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
25,0,6450,3832.6923076923076,3832.6923076923076,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
26,3,350,3703.703703703704,3703.703703703704,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
27,2,500,3589.285714285714,3589.285714285714,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
28,3,100,3468.9655172413795,3468.9655172413795,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
29,2,350,3365.0,3365.0,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
30,3,1050,3290.3225806451615,3290.3225806451615,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
31,3,-250,3179.6875,3179.6875,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
32,3,0,3083.3333333333335,3083.3333333333335,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
33,0,6750,3191.176470588235,3191.176470588235,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
34,3,750,3121.4285714285716,3121.4285714285716,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
35,2,750,3055.5555555555557,3055.5555555555557,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
36,0,7150,3166.2162162162163,3166.2162162162163,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
37,2,650,3100.0,3100.0,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
38,2,750,3039.74358974359,3039.74358974359,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
39,3,50,2965.0,2965.0,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
40,0,7100,3065.8536585365855,3065.8536585365855,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
41,0,6750,3153.5714285714284,3153.5714285714284,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
42,0,6850,3239.5348837209303,3239.5348837209303,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
43,2,450,3176.1363636363635,3176.1363636363635,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
44,0,6700,3254.4444444444443,3254.4444444444443,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
45,0,6700,3329.3478260869565,3329.3478260869565,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
46,2,600,3271.276595744681,3271.276595744681,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
47,0,6500,3338.5416666666665,3338.5416666666665,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
48,2,800,3286.734693877551,3286.734693877551,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
49,3,1050,3242.0,3242.0,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
50,3,200,3182.3529411764707,3182.3529411764707,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
51,2,850,3137.5,3137.5,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
52,2,1150,3100.0,3100.0,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
53,2,1150,3063.8888888888887,3063.8888888888887,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
54,0,5700,3111.818181818182,3111.818181818182,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
55,2,1000,3074.1071428571427,3074.1071428571427,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
56,3,550,3029.8245614035086,3029.8245614035086,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
57,3,600,2987.9310344827586,2987.9310344827586,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
58,3,1000,2954.237288135593,2954.237288135593,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
59,2,550,2914.1666666666665,2914.1666666666665,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
60,3,700,2877.8688524590166,2877.8688524590166,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
61,3,-200,2828.2258064516127,2828.2258064516127,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
62,0,7350,2900.0,2900.0,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
63,2,250,2858.59375,2858.59375,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
64,3,250,2818.4615384615386,2818.4615384615386,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
65,3,850,2788.6363636363635,2788.6363636363635,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
66,2,950,2761.194029850746,2761.194029850746,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
67,0,7200,2826.470588235294,2826.470588235294,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
68,2,750,2796.376811594203,2796.376811594203,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
69,3,400,2762.1428571428573,2762.1428571428573,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
70,3,650,2732.394366197183,2732.394366197183,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
71,0,6900,2790.277777777778,2790.277777777778,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
72,0,6200,2836.986301369863,2836.986301369863,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
73,3,550,2806.0810810810813,2806.0810810810813,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
74,3,900,2780.6666666666665,2780.6666666666665,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
75,2,200,2746.7105263157896,2746.7105263157896,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
76,3,800,2721.4285714285716,2721.4285714285716,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
77,2,700,2695.5128205128203,2695.5128205128203,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
78,2,950,2673.4177215189875,2673.4177215189875,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
79,0,6700,2723.75,2723.75,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
80,2,50,2690.740740740741,2690.740740740741,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
81,2,950,2669.512195121951,2669.512195121951,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
82,3,450,2642.7710843373493,2642.7710843373493,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
83,2,100,2612.5,2612.5,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
84,0,6800,2661.764705882353,2661.764705882353,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
85,2,-100,2629.6511627906975,2629.6511627906975,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
86,2,1200,2613.2183908045977,2613.2183908045977,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
87,2,550,2589.7727272727275,2589.7727272727275,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
88,0,6650,2635.3932584269664,2635.3932584269664,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
89,2,500,2611.6666666666665,2611.6666666666665,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
90,2,150,2584.6153846153848,2584.6153846153848,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
91,0,6750,2629.891304347826,2629.891304347826,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
92,2,550,2607.52688172043,2607.52688172043,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
93,2,50,2580.31914893617,2580.31914893617,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
94,3,850,2562.1052631578946,2562.1052631578946,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
95,0,6250,2600.5208333333335,2600.5208333333335,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
96,0,7000,2645.8762886597938,2645.8762886597938,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
97,2,1150,2630.612244897959,2630.612244897959,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
98,2,1000,2614.1414141414143,2614.1414141414143,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
99,3,200,2590.0,2590.0,1,20.0,18.0,26.0,1733.5,1701.0,2629.0
100,3,250,2596.0,2566.831683168317,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
101,2,-300,2580.0,2538.725490196078,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
102,3,400,2519.0,2517.9611650485435,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
103,0,7200,2529.0,2562.980769230769,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
104,2,-250,2461.5,2536.190476190476,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
105,3,900,2463.5,2520.754716981132,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
106,0,7350,2471.5,2565.88785046729,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
107,3,800,2416.5,2549.537037037037,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
108,0,6950,2416.0,2589.908256880734,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
109,2,300,2412.0,2569.090909090909,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
110,0,6650,2472.5,2605.8558558558557,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
111,3,500,2409.0,2587.0535714285716,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
112,3,650,2346.0,2569.9115044247787,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
113,3,1150,2345.5,2557.4561403508774,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
114,2,350,2341.0,2538.2608695652175,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
115,2,250,2334.0,2518.5344827586205,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
116,3,600,2347.5,2502.136752136752,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
117,0,6950,2420.0,2539.830508474576,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
118,0,7100,2476.5,2578.1512605042017,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
119,2,300,2415.5,2559.1666666666665,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
120,0,6800,2479.5,2594.214876033058,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
121,3,1150,2424.5,2582.377049180328,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
122,0,7850,2431.0,2625.20325203252,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
123,3,0,2361.5,2604.032258064516,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
124,2,400,2301.0,2586.4,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
125,2,-100,2235.5,2565.0793650793653,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
126,3,550,2237.5,2549.212598425197,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
127,0,6400,2296.5,2579.296875,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
128,0,7500,2370.5,2617.4418604651164,1,33.0,25.0,42.0,3081.5,2355.0,3443.5
