number_of_game,winner
0,2
1,3
2,3
3,2
4,1
5,1
6,0
7,2
8,3
9,1
10,2
11,2
12,1
13,0
14,0
15,3
16,1
17,0
18,3
19,1
20,2
21,1
22,0
23,2
24,1
25,3
26,2
27,1
28,1
29,3
30,3
31,2
32,0
33,1
34,3
35,2
36,1
37,0
38,0
39,1
40,1
41,3
42,0
43,2
44,2
45,3
46,3
47,0
48,2
49,1
50,2
51,3
52,3
53,0
54,0
55,2
56,3
57,0
58,0
59,3
60,3
61,2
62,3
63,1
64,0
65,2
66,2
67,3
68,2
69,1
70,2
71,0
72,1
73,2
74,2
75,1
76,3
77,1
78,1
79,2
80,2
81,3
82,2
83,0
84,1
85,1
86,1
87,3
88,2
89,1
90,0
91,3
92,1
93,0
94,1
95,1
96,0
97,2
98,3
99,2
100,0
101,2
102,0
103,2
104,3
105,0
106,2
107,1
108,2
109,2
110,3
111,1
112,2
113,0
114,3
115,3
116,0
117,3
118,1
119,2
120,3
121,2
122,2
123,0
124,0
125,0
126,1
127,3
128,1
129,0
130,3
131,1
132,0
133,2
134,2
135,1
136,0
137,0
138,3
139,0
140,0
141,2
142,0
143,2
144,3
145,3
146,0
147,1
148,0
149,0
150,0
151,1
152,3
153,1
154,1
155,0
156,2
157,1
158,2
159,1
160,1
161,2
162,1
163,2
164,0
165,3
166,3
167,0
168,1
169,3
170,1
171,2
172,3
173,1
174,2
175,0
176,0
177,0
178,1
179,3
180,2
181,2
182,1
183,2
184,1
185,2
186,0
187,2
188,0
189,1
190,3
191,0
192,3
193,2
194,2
195,2
196,1
197,3
198,3
199,2
200,0
201,1
202,0
203,0
204,3
205,3
206,3
207,3
208,1
209,0
210,3
211,0
212,0
213,1
214,0
215,1
216,0
217,1
218,0
219,3
220,2
221,3
222,0
223,2
224,3
225,2
226,2
227,3
228,3
229,2
230,0
231,2
232,1
233,0
234,2
235,2
236,2
237,3
238,0
239,1
240,2
241,2
242,3
243,2
244,2
245,1
246,1
247,3
248,1
249,3
250,0
251,0
252,2
253,2
254,1
255,1
256,1
257,2
258,3
259,3
260,0
261,3
262,2
263,0
264,3
265,2
266,0
267,0
268,2
269,0
270,0
271,3
272,2
273,1
274,2
275,0
276,0
277,2
278,2
279,0
280,0
281,1
282,3
283,0
284,1
285,1
286,0
287,2
288,3
289,1
290,0
291,0
292,1
293,1
294,2
295,1
296,0
297,1
298,1
299,2
300,2
301,2
302,3
303,1
304,0
305,3
306,0
307,2
308,0
309,3
310,3
311,2
312,0
313,0
314,0
315,0
316,2
317,3
318,1
319,2
320,3
321,1
322,3
323,2
324,2
325,0
326,3
327,1
328,0
329,3
330,3
331,3
332,2
333,3
334,2
335,3
336,0
337,3
338,1
339,1
340,3
341,0
342,1
343,3
344,1
345,2
346,0
347,0
348,3
349,1
350,0
351,3
352,3
353,3
354,1
355,3
356,0
357,1
358,1
359,0
360,0
361,2
362,3
363,0
364,2
365,2
366,0
367,2
368,2
369,2
370,2
371,2
372,1
373,1
374,2
375,0
376,3
377,3
378,1
379,3
380,0
381,3
382,0
383,3
384,2
385,2
386,3
387,1
388,3
389,1
390,0
391,2
392,1
393,0
394,2
395,0
396,3
397,0
398,3
399,2
400,3
401,0
402,2
403,1
404,2
405,1
406,2
407,0
408,2
409,1
410,1
411,1
412,1
413,0
414,3
415,3
416,1
417,0
418,3
419,1
420,2
421,1
422,3
423,3
424,1
425,2
426,3
427,0
428,3
429,2
430,2
431,0
432,1
433,3
434,0
435,3
436,2
437,0
438,2
439,0
440,3
441,0
442,0
443,3
444,0
445,0
446,1
447,0
448,0
449,3
450,2
451,3
452,3
453,0
454,3
455,1
456,2
457,0
458,0
459,0
460,0
461,3
462,3
463,2
464,1
465,3
466,2
467,1
468,3
469,1
470,1
471,3
472,3
473,2
474,3
475,0
476,1
477,0
478,2
479,1
480,3
481,0
482,2
483,1
484,2
485,3
486,3
487,1
488,3
489,0
490,3
491,0
492,3
493,3
494,0
495,0
496,2
497,0
498,2
499,1
500,2
501,3
502,0
503,0
504,1
505,1
506,1
507,1
508,3
509,2
510,1
511,0
512,3
513,3
514,0
515,0
516,1
517,2
518,3
519,0
520,3
521,3
522,3
523,0
524,2
525,1
526,1
527,3
528,2
529,2
530,2
531,2
532,0
533,2
534,2
535,2
536,2
537,3
538,3
539,1
540,2
541,1
542,0
543,0
544,3
545,3
546,1
547,1
548,2
549,1
550,0
551,2
552,1
553,3
554,1
555,2
556,3
557,1
558,0
559,0
560,0
561,0
562,1
563,2
564,3
565,3
566,3
567,1
568,3
569,2
570,2
571,0
572,2
573,1
574,2
575,1
576,0
577,1
578,3
579,2
580,1
581,0
582,1
