number_of_game,winner,cur_reward,avg100_reward,avgall_reward,epsilon
0,0,6450,6450.0,6450.0,1
1,3,550,3500.0,3500.0,1
2,1,250,2416.6666666666665,2416.6666666666665,1
3,0,5800,3262.5,3262.5,1
4,3,-500,2510.0,2510.0,1
5,1,1100,2275.0,2275.0,1
6,2,550,2028.5714285714287,2028.5714285714287,1
7,0,6950,2643.75,2643.75,1
8,1,150,2366.6666666666665,2366.6666666666665,1
9,1,1800,2310.0,2310.0,1
10,3,-100,2090.909090909091,2090.909090909091,1
11,2,450,1954.1666666666667,1954.1666666666667,1
12,2,1000,1880.7692307692307,1880.7692307692307,1
13,1,150,1757.142857142857,1757.142857142857,1
14,3,350,1663.3333333333333,1663.3333333333333,1
15,3,1350,1643.75,1643.75,1
16,0,6800,1947.0588235294117,1947.0588235294117,1
17,3,600,1872.2222222222222,1872.2222222222222,1
18,2,100,1778.9473684210527,1778.9473684210527,1
19,2,-550,1662.5,1662.5,1
20,2,200,1592.857142857143,1592.857142857143,1
21,3,450,1540.909090909091,1540.909090909091,1
22,2,300,1486.9565217391305,1486.9565217391305,1
23,2,600,1450.0,1450.0,1
24,1,150,1398.0,1398.0,1
25,2,1350,1396.1538461538462,1396.1538461538462,1
26,2,-250,1335.1851851851852,1335.1851851851852,1
27,2,700,1312.5,1312.5,1
28,2,800,1294.8275862068965,1294.8275862068965,1
29,3,-250,1243.3333333333333,1243.3333333333333,1
30,0,6500,1412.9032258064517,1412.9032258064517,1
31,2,-350,1357.8125,1357.8125,1
32,3,300,1325.7575757575758,1325.7575757575758,1
33,3,700,1307.3529411764705,1307.3529411764705,1
34,3,500,1284.2857142857142,1284.2857142857142,1
35,3,850,1272.2222222222222,1272.2222222222222,1
36,2,800,1259.4594594594594,1259.4594594594594,1
37,0,6150,1388.157894736842,1388.157894736842,1
38,3,950,1376.923076923077,1376.923076923077,1
39,2,750,1361.25,1361.25,1
40,1,1200,1357.3170731707316,1357.3170731707316,1
41,2,600,1339.2857142857142,1339.2857142857142,1
42,1,-300,1301.1627906976744,1301.1627906976744,1
43,3,550,1284.090909090909,1284.090909090909,1
